ID  Occurrence

1.0 600
2.0 56
3.0 575
4.0 600
5.0 600
6.0 600
7.0 581
8.0 43
9.0 600
10.0 600
11.0 530
12.0 493
13.0 526
14.0 306
15.0 600
16.0 62
17.0 600
18.0 600
19.0 549
20.0 322
21.0 80
22.0 39
23.0 586
24.0 600
25.0 600
26.0 600
27.0 570
28.0 448
29.0 537
30.0 600
31.0 600
32.0 298
33.0 266
34.0 248
35.0 230
36.0 516
37.0 279
38.0 351
39.0 376
40.0 529
41.0 373
42.0 361
43.0 479
44.0 370
45.0 491
46.0 600
47.0 600
48.0 251
49.0 218
50.0 528
51.0 600
52.0 533
53.0 498
54.0 369
55.0 43
56.0 278
57.0 467
58.0 303
59.0 323
60.0 402
61.0 550
62.0 304
63.0 111
64.0 111
65.0 580
66.0 600
67.0 349
68.0 315
69.0 280
70.0 206
71.0 60
72.0 152
73.0 121
74.0 68
75.0 62
76.0 155
77.0 12
78.0 25
79.0 52
80.0 4
81.0 1
82.0 1
83.0 1
