x,y,w,h
631,-375,2511,5022
1115,-96,1422,2845
1423,88,724,1448
1493,145,553,1107
1428,130,677,1354
1477,178,546,1092
1476,197,529,1058
1473,215,510,1021
1472,230,492,984
1467,242,477,954
1461,251,464,929
1455,258,454,909
1450,262,445,891
1448,265,435,870
1448,267,423,847
1451,269,410,820
1454,270,399,799
1457,274,387,774
1461,280,375,751
1463,287,364,728
1464,297,354,708
1465,308,342,685
1465,316,335,670
1465,323,327,655
1465,327,322,645
1464,330,316,633
1462,331,313,626
1461,333,307,614
1459,332,302,604
1456,330,297,594
1455,329,292,584
1453,330,285,571
1450,333,279,559
1449,337,274,548
1449,347,262,525
1444,348,262,525
1434,342,268,537
1424,335,276,552
1414,329,282,564
1407,327,284,569
1406,334,278,557
1403,335,277,555
1402,337,274,548
1400,336,271,543
1399,335,266,533
1401,335,260,520
1402,335,256,512
1405,338,250,500
1406,341,245,490
1407,348,238,476
1407,356,231,463
1409,366,223,446
1409,373,218,436
1411,378,214,428
1413,379,213,426
1413,379,213,426
1414,379,212,424
1414,377,212,424
1415,376,209,419
1415,376,205,411
1414,376,203,406
1415,375,201,402
1417,378,197,395
1419,381,194,388
1421,384,192,384
1422,388,189,379
1422,391,188,376
1422,395,185,371
1420,396,185,371
1416,393,188,377
1411,390,192,384
1408,387,195,391
1406,385,195,391
1408,386,191,383
1408,383,191,383
1412,385,185,370
1415,392,176,352
1420,402,165,330
1424,412,155,310
1426,418,150,300
1427,419,150,300
1429,422,148,297
1430,425,147,295
1432,426,147,295
1433,427,147,295
1436,427,146,292
1437,426,146,292
1438,425,145,290
1439,424,143,287
1440,423,142,285
1442,423,140,280
1444,424,137,275
1445,425,136,272
1447,428,133,267
1447,431,132,265
1447,433,132,265
1448,436,131,262
1449,437,131,262
1448,438,131,262
1448,436,132,265
1449,435,132,265
1450,433,132,265
1452,433,130,260
1455,433,127,255
1457,432,127,255
1460,433,125,250
1462,435,122,245
1463,436,122,245
1465,438,121,242
1467,440,120,240
1470,443,118,237
1471,444,118,237
1474,445,117,235
1476,445,116,232
1477,444,117,235
1479,442,117,235
1481,441,116,232
1482,439,116,232
1483,440,113,227
1484,440,112,225
1486,442,111,222
1487,443,110,220
1488,445,108,217
1489,447,108,217
1490,450,106,212
1491,451,107,215
1492,452,107,215
1490,450,110,220
1491,450,110,220
1493,449,110,220
1493,447,110,220
1497,447,107,215
1499,446,107,215
1501,446,105,210
1503,446,105,210
1505,449,102,205
1506,450,101,202
1508,452,101,202
1510,454,100,200
1510,455,101,202
1513,457,100,200
1515,457,100,200
1516,457,100,200
1516,456,101,202
1519,455,100,200
1518,453,101,202
1522,454,98,197
1523,454,97,195
1524,454,97,195
1526,455,96,192
1528,458,93,187
1528,460,93,187
1530,462,92,185
1530,463,92,185
1531,464,93,187
1532,465,93,187
1532,464,95,190
1534,464,94,188
1535,463,94,188
1537,461,94,188
1539,462,91,183
1540,461,90,180
1543,462,89,178
1545,463,87,175
1547,464,87,175
1550,466,85,170
1551,467,85,170
1553,469,85,170
1554,470,85,170
1555,470,85,170
1556,470,86,173
1559,470,85,170
1559,469,86,172
1561,468,85,170
1562,469,83,167
1562,468,83,167
1564,467,83,167
1566,468,82,165
1567,468,82,165
1568,470,81,162
1570,472,80,160
1570,473,80,160
1571,475,80,160
1572,475,80,160
1572,476,80,160
1573,475,81,162
1574,475,80,160
1575,474,80,160
1576,472,80,160
1578,472,78,157
1580,472,77,155
1582,472,76,152
1583,474,75,150
1583,475,75,150
1585,476,75,150
1586,477,75,150
1588,478,75,150
1589,477,77,155
1591,478,76,152
1591,478,77,155
1592,477,78,157
1593,477,77,155
1594,476,77,155
1594,475,77,155
1596,476,75,150
1597,474,76,152
1598,476,73,147
1598,476,75,150
1600,478,72,145
1600,479,72,145
1600,480,73,147
1601,481,73,147
1601,482,73,147
1602,482,73,147
1601,482,75,150
1603,482,73,147
1604,481,74,148
1605,480,74,148
1605,480,72,145
1607,480,71,143
1608,479,71,143
1609,479,71,143
1610,480,68,137
1611,480,68,137
1611,481,68,137
1613,484,67,135
1614,485,67,135
1613,485,68,137
1614,486,68,137
1616,486,70,140
1616,485,71,142
1619,485,71,142
1623,485,70,140
1629,485,70,140
1634,487,68,137
1641,487,68,137
1651,489,66,133
1662,492,63,126
1670,494,61,122
1678,498,59,118
1684,500,58,117
1687,498,60,121
1692,499,59,119
1698,498,57,115
1706,497,59,118
1713,495,60,120
1721,495,61,122
1728,495,63,126
1734,493,64,128
1740,492,64,129
1748,489,67,134
1752,487,65,130
1767,485,66,133
1786,484,68,136
1808,483,72,145
1811,484,75,150
1808,484,75,150
1778,486,70,141
1750,489,67,135
1712,490,67,135
1682,491,65,130
1657,494,62,125
1643,493,61,122
1625,494,60,120
1622,491,61,122
1606,490,61,123
1588,490,60,120
1576,492,57,115
1562,492,57,115
1554,493,56,112
1556,493,56,112
1552,493,57,115
1550,494,57,115
1548,496,56,112
1545,498,55,110
1543,497,56,112
1539,498,56,112
1536,499,56,112
1533,499,56,113
1528,499,57,115
1526,501,55,110
1521,499,57,115
1518,499,58,117
1514,498,61,122
1508,496,64,128
1505,496,64,129
1503,497,63,126
1500,498,63,127
1496,499,62,125
1493,500,62,125
1490,500,62,125
1486,501,62,125
1484,502,61,122
1480,502,61,122
1477,503,61,122
1474,503,60,121
1471,502,60,121
1468,502,60,120
1466,502,58,117
1463,501,58,117
1460,501,57,115
1458,501,56,112
1456,501,56,112
1452,501,56,112
1449,502,56,112
1445,504,55,110
1441,503,56,112
1437,505,55,110
1435,506,53,107
1431,506,53,107
1427,505,53,107
1423,505,53,107
1418,504,55,110
1414,503,55,110
1411,501,56,112
1408,502,55,110
1405,500,56,113
1402,501,55,111
1401,502,54,108
1397,502,55,111
1394,503,54,109
1390,503,55,111
1388,504,54,109
1385,504,54,108
1380,504,55,111
1377,504,55,111
1374,504,55,111
1372,504,55,110
1370,503,55,110
1368,503,53,107
1367,503,52,105
1364,503,51,102
1360,503,51,102
1359,503,50,100
1356,503,50,100
1353,504,50,100
1349,504,51,102
1347,505,50,100
1342,505,51,102
1340,505,50,100
1338,506,48,97
1335,506,48,97
1332,506,48,97
1329,505,48,97
1325,504,50,100
1322,504,50,100
1320,503,50,100
1316,502,51,102
1314,502,50,100
1312,502,50,100
1308,502,51,102
1306,503,50,100
1303,504,49,98
1301,504,50,100
1298,505,49,98
1294,505,49,98
1292,505,49,98
1289,505,50,100
1285,504,51,102
1284,504,50,100
1282,503,50,100
1279,502,50,100
1276,502,48,97
1275,503,47,95
1271,501,48,97
1269,503,47,95
1267,503,47,95
1263,502,48,97
1261,504,47,95
1259,504,47,95
1255,503,48,97
1252,505,46,92
1249,505,46,92
1247,504,47,95
1244,504,47,95
1242,504,47,95
1240,503,47,95
1238,502,47,95
1235,502,47,95
1233,501,47,95
1231,501,47,95
1229,502,47,95
1227,502,47,95
1225,503,47,95
1223,503,47,95
1220,504,46,92
1218,504,47,95
1216,504,47,95
1214,504,47,95
1210,502,48,97
1208,503,47,95
1206,502,47,95
1204,502,46,92
1202,502,45,90
1200,501,45,90
1198,501,45,90
1195,501,45,90
1194,503,43,87
1190,502,45,90
1189,504,43,87
1186,505,42,85
1184,505,43,87
1181,505,43,87
1179,505,43,87
1176,505,42,85
1173,503,44,88
1171,503,44,88
1168,502,45,90
1167,503,43,87
1164,502,45,90
1161,501,46,92
1161,503,43,87
1157,502,45,90
1155,502,45,90
1154,504,43,87
1151,503,45,90
1149,505,43,87
1148,505,43,87
1144,504,45,90
1142,504,45,90
1140,504,45,90
1138,503,45,90
1136,504,43,87
1134,502,45,90
1133,503,42,85
1131,503,42,85
1130,503,41,83
1128,504,40,80
1126,504,41,83
1123,505,41,82
1121,506,40,80
1119,506,41,83
1117,506,41,83
1114,507,40,80
1112,506,41,83
1110,506,41,83
1107,506,40,80
1106,505,41,83
1104,505,41,83
1102,505,40,80
1100,504,41,83
1099,505,40,80
1097,505,40,80
1095,505,41,82
1093,506,40,80
1091,506,40,80
1089,507,40,80
1087,507,40,80
1085,507,40,80
1083,507,41,83
1081,507,41,83
1079,507,41,83
1076,506,43,86
1074,506,41,83
1073,505,40,81
1071,506,39,79
1070,506,39,78
1068,506,39,78
1065,507,38,76
1063,508,38,76
1061,508,38,76
1060,509,36,73
1056,509,38,76
1054,509,38,76
1052,509,38,76
1050,509,38,77
1047,509,38,76
1046,508,39,78
1044,508,38,76
1042,507,39,78
1040,507,39,78
1038,507,37,75
1036,507,37,75
1034,507,38,77
1032,508,37,75
1030,508,38,77
1028,509,37,75
1026,509,37,75
1024,509,38,77
1022,510,37,75
1019,509,38,77
1018,509,39,78
1016,509,39,78
1014,508,39,78
1012,508,38,76
1012,508,37,74
1009,507,38,77
1008,508,36,72
1006,508,36,72
1004,508,37,74
1001,510,35,71
999,510,35,71
997,511,35,71
995,511,35,71
992,511,35,71
991,511,35,71
989,510,36,72
987,511,35,71
985,509,37,74
983,510,35,71
981,508,36,73
979,508,36,73
977,508,36,73
974,508,36,72
973,509,36,72
972,511,35,70
969,510,36,72
968,512,35,70
966,512,35,70
964,512,35,70
961,511,36,72
960,511,36,73
958,510,36,73
957,510,36,73
954,511,35,71
950,510,36,72
946,512,34,69
940,512,34,68
935,513,34,68
931,512,34,69
926,512,35,70
920,512,35,71
916,513,34,69
909,513,35,71
904,511,36,72
896,511,35,71
891,509,36,73
884,509,36,72
880,511,33,67
876,513,31,62
874,512,30,60
871,511,30,60
868,511,30,60
865,512,30,60
860,513,30,60
855,513,31,62
851,513,31,63
852,513,30,61
842,510,32,64
831,508,34,69
813,508,28,57
796,508,28,56
775,508,28,57
758,509,27,54
738,507,28,57
726,504,35,70
720,502,36,72
723,502,37,75
725,503,36,72
721,504,35,70
731,503,32,65
748,504,31,62
769,504,31,62
785,502,32,65
791,502,33,67
786,502,33,67
785,502,34,68
786,502,33,67
786,501,35,70
786,502,33,67
785,502,33,67
786,503,32,65
786,503,32,65
785,502,33,67
785,502,33,67
784,502,34,68
784,502,33,67
784,502,33,67
784,502,33,67
783,502,34,68
784,502,33,67
784,502,33,67
782,501,35,70
783,502,33,67
783,502,33,67
783,502,33,67
782,502,33,67
783,502,33,67
782,502,34,68
782,502,34,68
782,502,34,68
782,502,34,68
781,502,34,68
782,502,33,67
781,501,35,70
782,502,33,67
782,502,33,67
782,502,33,67
782,502,33,67
783,503,32,65
783,503,32,65
782,502,33,67
782,502,33,67
782,502,33,67
782,502,33,67
781,501,35,70
782,502,33,67
782,502,33,67
782,502,33,67
782,502,33,67
781,502,34,68
781,502,34,68
781,502,34,68
781,502,34,68
780,502,34,68
781,502,33,67
