x,y,w,h
840,478,143,286
841,481,140,281
842,483,139,279
842,484,139,278
844,483,140,281
846,483,140,280
847,481,141,283
849,480,142,285
852,479,142,285
855,478,142,285
857,476,144,288
861,477,144,289
865,479,143,287
870,479,145,290
875,481,145,290
879,483,145,291
884,484,146,293
888,484,149,299
895,485,150,300
901,485,151,303
908,485,151,303
914,486,150,301
920,486,151,303
926,485,151,303
933,483,152,304
940,483,151,302
948,483,148,297
956,484,146,292
964,484,144,289
971,484,144,289
979,486,143,286
986,488,142,285
994,489,143,287
1004,489,146,293
1015,490,146,293
1025,491,146,292
1033,491,145,291
1040,492,143,287
1045,490,145,291
1052,487,149,298
1058,486,151,303
1064,483,154,308
1072,482,155,310
1080,480,156,312
1088,481,157,315
1096,481,158,317
1106,483,156,312
1115,485,155,311
1125,487,152,304
1135,490,151,302
1144,491,151,302
1153,491,151,302
1160,489,153,306
1168,488,154,308
1175,486,156,313
1183,484,158,317
1191,482,158,317
1200,481,156,312
1209,480,155,310
1218,480,152,304
1228,482,151,303
1235,483,151,303
1244,484,152,304
1253,486,152,304
1261,489,151,303
1271,490,150,300
1281,490,150,300
1292,490,149,298
1301,491,147,295
1309,488,148,296
1318,488,145,290
1326,487,143,287
1335,485,142,285
1343,484,140,280
1350,483,141,282
1357,483,142,285
1365,485,141,283
1372,486,142,285
1379,488,143,286
1387,490,141,283
1395,491,142,284
1402,491,143,286
1409,490,145,291
1416,490,145,291
1423,489,145,290
1431,488,145,290
1437,486,146,292
1446,484,146,293
1453,481,148,296
1461,480,149,298
1469,480,148,296
1477,483,146,292
1485,485,145,290
1494,487,145,290
1501,488,147,295
1510,490,146,292
1518,488,148,297
1527,489,146,292
1536,487,145,290
1545,487,141,282
1554,486,138,277
1562,484,136,272
1569,482,136,272
1576,482,133,267
1583,482,128,257
1588,482,128,257
1591,481,133,267
1594,480,140,280
1596,479,146,293
1600,479,150,300
1607,482,146,293
1610,483,147,295
1613,483,151,302
1617,482,153,307
1619,480,156,312
1623,478,156,312
1627,476,156,312
1630,475,155,310
1631,473,156,312
1632,471,158,317
1633,469,161,323
1635,469,161,323
1638,469,160,320
1639,470,157,315
1641,472,155,310
1642,473,152,305
1642,473,152,305
1643,473,152,305
1642,472,153,307
1642,472,152,305
1643,473,151,302
1642,473,150,300
1641,473,149,299
1642,473,148,297
1639,473,149,299
1638,474,148,296
1636,474,148,296
1633,474,148,296
1630,474,148,296
1626,474,148,297
1622,475,148,296
1617,475,148,297
1614,477,147,294
1608,478,145,291
1603,479,144,288
1598,479,145,290
1591,479,145,290
1584,479,145,291
1578,479,147,294
1570,478,149,298
1562,478,150,300
1555,478,151,303
1549,479,151,303
1542,480,150,301
1537,481,147,295
1533,483,141,283
1527,485,138,277
1522,486,137,275
1516,488,137,275
1508,487,140,280
1500,488,140,280
1492,489,138,277
1485,489,139,278
1477,490,139,279
1468,492,139,278
1460,493,139,279
1450,492,141,283
1440,491,143,286
1431,489,143,287
1421,485,143,286
1411,481,141,283
1402,478,138,277
1392,476,138,277
1382,475,140,280
1371,476,141,283
1361,478,143,286
1352,481,142,285
1342,483,142,285
1333,483,142,285
1323,482,141,283
1313,479,141,282
1303,475,143,286
1290,470,147,295
1279,467,151,302
1266,465,154,308
1257,468,151,302
1244,470,152,305
1232,473,154,309
1221,477,152,305
1209,479,151,303
1199,478,150,301
1188,476,147,294
1176,472,146,292
1165,469,144,288
1153,468,142,285
1140,467,141,282
1127,469,141,282
1114,472,142,285
1101,476,143,286
1089,478,145,290
1073,478,147,295
1061,476,147,295
1043,471,149,299
1030,464,152,304
1025,461,149,299
1022,460,144,289
1014,459,144,288
1005,462,143,287
987,463,148,296
971,466,152,305
956,471,155,311
942,473,154,309
928,473,154,309
913,469,156,313
899,464,156,313
886,460,155,311
871,457,154,309
857,456,154,308
844,457,152,305
830,459,153,307
816,464,153,307
802,468,155,311
788,471,155,311
773,471,157,315
759,469,160,320
743,465,162,325
729,460,164,328
714,456,165,331
701,455,162,325
687,453,164,328
673,455,164,328
658,460,164,328
643,465,166,333
628,470,165,331
614,473,163,326
603,475,157,315
591,475,152,305
580,473,149,298
565,469,151,303
551,465,151,303
534,461,154,308
520,461,154,308
507,463,153,306
493,467,152,305
478,471,156,312
466,477,155,310
455,482,151,302
447,484,145,290
440,486,136,272
430,486,130,260
418,484,131,263
407,480,134,268
403,474,140,280
394,470,140,280
376,468,143,287
350,466,150,300
325,469,153,307
301,473,158,317
292,475,161,323
281,477,157,315
268,475,158,317
255,470,162,325
242,466,165,330
229,463,165,330
219,463,162,325
208,462,160,320
196,464,158,317
186,467,157,315
174,468,160,320
162,471,162,325
150,471,166,332
139,470,168,337
130,469,171,342
120,466,175,350
103,454,182,365
101,463,182,365
124,493,172,344
134,508,176,353
133,507,192,385
123,491,214,429
100,458,243,487
97,446,256,513
119,459,246,492
132,460,246,493
145,462,244,488
158,462,244,489
170,462,245,490
182,462,244,489
195,460,245,491
206,458,247,494
217,455,248,497
228,453,249,499
241,452,248,496
254,453,244,488
268,453,244,488
282,456,243,487
293,457,247,495
304,457,253,507
317,460,255,510
332,461,253,507
344,461,256,512
356,461,261,522
369,460,263,527
384,460,258,517
400,458,252,505
416,459,243,487
432,457,237,475
443,457,235,471
456,456,233,467
469,457,229,459
479,458,230,461
489,459,233,467
498,460,239,478
508,462,243,487
520,465,243,487
533,466,241,482
545,466,241,482
558,466,241,483
569,464,242,485
580,461,245,490
591,458,247,495
601,454,251,503
610,451,255,510
621,448,258,517
632,446,260,520
644,448,259,518
657,450,255,511
671,451,254,509
